name,type,city,district,address,phone,latitude,longitude,updated_at
Sahajanand Hospital,Multispecialty,Ahmedabad,Ahmedabad,2nd Floor Omkar Plaza Nr Raspan Circle New India Colony Nikol,02048562555,23.0482,72.6681,2026-08-10
Palm Hospital,Multispecialty,Ahmedabad,Ahmedabad,3rd Floor Palm Arcade Shukan Cross Road Nikol-Naroda Rd Nikol,09909005385,23.0512,72.6695,2026-08-10
Kalrav Hospital,Multispecialty,Ahmedabad,Ahmedabad,Pancham Mall Nikol Gam Road Nr Jivan Wadi Nikol,08980798433,23.0451,72.6642,2026-08-10
Shukan Medical Hospital,General Hospital,Ahmedabad,Ahmedabad,11 3rd Floor Palm Arcade Nikol-Naroda Rd Nikol,07600414313,23.0515,72.6698,2026-08-10
Pramukh Multispecialty Hospital,Multispecialty,Ahmedabad,Ahmedabad,New India Colony Nikol,07922900100,23.0478,72.6675,2026-08-10
Urban Primary Health Center Nikol,UPHC,Ahmedabad,Ahmedabad,Nr Zeel Residency Opp Beti Bachao Maidan Nikol Gam,07922900001,23.0435,72.6631,2026-08-10
Samriddhi Hospital,General Hospital,Ahmedabad,Ahmedabad,Shukan Cross Road Nikol Gam,07922900102,23.0508,72.6690,2026-08-10
Shakti Hospital,General Hospital,Ahmedabad,Ahmedabad,Gangotri Circle Road Nikol Gam,07922900103,23.0462,72.6655,2026-08-10
Patel Orthopaedic Hospital,Orthopedic,Ahmedabad,Ahmedabad,Nikol Naroda Road Nikol Gam,07922900104,23.0520,72.6701,2026-08-10
Swastik Multispecialty Hospital,Multispecialty,Ahmedabad,Ahmedabad,Sardar Patel Ring Road Nikol,07922900105,23.0495,72.6780,2026-08-10
Samved Hospital,General Hospital,Ahmedabad,Ahmedabad,Opp Madhuvan Green Party Plot Nikol,07922900106,23.0440,72.6620,2026-08-10
Aaradhya Hospital,General Hospital,Ahmedabad,Ahmedabad,Jivan Vadi Nikol Gam,07922900107,23.0448,72.6638,2026-08-10
Sarthak Medical And ICU Hospital,ICU & Critical Care,Ahmedabad,Ahmedabad,Opp Rajhans Cinema Nikol,07922900108,23.0470,72.6660,2026-08-10
Shashvat General Hospital,General Hospital,Ahmedabad,Ahmedabad,Skylark Road Nikol Gam,07922900109,23.0430,72.6610,2026-08-10
Gopi Women's Hospital,Maternity & Gynecology,Ahmedabad,Ahmedabad,Basant Bahar Cross Road Nikol,07922900110,23.0488,72.6670,2026-08-10
Amrutam Hospital,General Hospital,Ahmedabad,Ahmedabad,Raspan Arcade Nikol Gam,07922900111,23.0475,72.6678,2026-08-10
Vidya Eye Hospital,Ophthalmology,Ahmedabad,Ahmedabad,Nikol Naroda Road Nikol Gam,07922900112,23.0525,72.6710,2026-08-10
Narnarayan Hospital Critical Care,Critical Care,Ahmedabad,Ahmedabad,Nikol Gam Road Nikol,07922900113,23.0455,72.6645,2026-08-10
Nilkanth Multispecialty Hospital,Multispecialty,Ahmedabad,Ahmedabad,Nikol Gam Road Nikol,07922900114,23.0458,72.6648,2026-08-10
Krishna Medical Hospital,General Hospital,Ahmedabad,Ahmedabad,Nikol Gam Road Nikol,07922900115,23.0460,72.6650,2026-08-10
Heyansh Oral Cancer Hospital,Oncology,Ahmedabad,Ahmedabad,Naroda Road Nikol,07922900116,23.0530,72.6715,2026-08-10
Maa Multicare Hospital,Multispecialty,Ahmedabad,Ahmedabad,S P Ring Road Nikol,07922900117,23.0500,72.6785,2026-08-10
Sanket Surgical Hospital,Surgical,Ahmedabad,Ahmedabad,Nikol Gam Road Nikol,07922900118,23.0450,72.6640,2026-08-10
Me And Mommy Women's Hospital,Maternity & Gynecology,Ahmedabad,Ahmedabad,Nikol Gam Road Nikol,07922900119,23.0453,72.6643,2026-08-10
Kanba Hospital,Multispecialty,Ahmedabad,Ahmedabad,Nikol Gam Road Nikol,07922900120,23.0457,72.6647,2026-08-10
Prasad Hospital,General Hospital,Ahmedabad,Ahmedabad,Nikol Gam Road Nikol,07922900121,23.0461,72.6651,2026-08-10
Venus Children's Hospital,Pediatrics,Ahmedabad,Ahmedabad,Nikol Gam Road Nikol,07922900122,23.0463,72.6653,2026-08-10
Krisha Hospital,General Hospital,Ahmedabad,Ahmedabad,Nikol Gam Road Nikol,07922900123,23.0465,72.6655,2026-08-10
Aastha Hospital Nikol,General Hospital,Ahmedabad,Ahmedabad,Nikol Gam Road Nikol,07922900124,23.0467,72.6657,2026-08-10
Health Care Hospital Nikol,General Hospital,Ahmedabad,Ahmedabad,Above Rajwadu Sweet Mart Nikol Gam,07922900125,23.0442,72.6625,2026-08-10
Parli Cosmetics Hospital,Dermatology & Cosmetic,Ahmedabad,Ahmedabad,Sarovar Plaza Gangotri Circle Nikol,07922900126,23.0464,72.6656,2026-08-10
Sardar Medical Unit,Primary Care,Ahmedabad,Ahmedabad,Nikol Gam Road Nikol,07922900127,23.0449,72.6639,2026-08-10
Earth Shakti Hospital,Ayurvedic & General,Ahmedabad,Ahmedabad,Nikol Naroda Road Nikol,07922900128,23.0532,72.6718,2026-08-10
Aapta Ayurved Panchkarma Center,Ayurvedic,Ahmedabad,Ahmedabad,Gangotri Circle Road Nikol,07922900129,23.0463,72.6654,2026-08-10
Tanuved Ayurved Hospital,Ayurvedic,Ahmedabad,Ahmedabad,Near Town Plaza Nikol,07922900130,23.0472,72.6663,2026-08-10
Sattvam Ayurveda Hospital,Ayurvedic,Ahmedabad,Ahmedabad,Nikol Naroda Road Nikol,07922900131,23.0518,72.6700,2026-08-10
Radicare Diagnostic & Imaging,Diagnostics,Ahmedabad,Ahmedabad,Shukan Cross Naroda Road Nikol,07922900132,23.0510,72.6692,2026-08-10
Hamirji Hospital Nikol,General Hospital,Ahmedabad,Ahmedabad,Thakkarbapa Nagar Road Nikol,07922900133,23.0540,72.6610,2026-08-10
Shivlal Hamirji Hospital,General Hospital,Ahmedabad,Ahmedabad,Thakkarbapa Nagar Road Nikol,07922900134,23.0542,72.6612,2026-08-10
Banker Eye Hospital Nikol,Ophthalmology,Ahmedabad,Ahmedabad,Virat Nagar Road Nikol,07922900135,23.0380,72.6600,2026-08-10
Central United Hospital,Multispecialty,Ahmedabad,Ahmedabad,Odhav Cross Road Nikol Extension,07922900136,23.0290,72.6650,2026-08-10
Kalp Multispecialty Hospital,Multispecialty,Ahmedabad,Ahmedabad,Virat Nagar Road Odhav-Nikol,07922900137,23.0375,72.6595,2026-08-10
Shree Health Care Center Nikol,General Clinic,Ahmedabad,Ahmedabad,New India Colony Nikol,07922900138,23.0479,72.6676,2026-08-10
Navjivan Children Hospital,Pediatrics,Ahmedabad,Ahmedabad,Raspan Cross Road Nikol,07922900139,23.0476,72.6672,2026-08-10
Apex Heart & Surgical Hospital,Cardiology & Surgery,Ahmedabad,Ahmedabad,SP Ring Road Nikol,07922900140,23.0505,72.6788,2026-08-10
Dev Multispecialty Hospital,Multispecialty,Ahmedabad,Ahmedabad,Ankur Chokadi Nikol,07922900141,23.0474,72.6668,2026-08-10
Lifeline Critical Care Hospital,ICU & Emergency,Ahmedabad,Ahmedabad,Shukan Cross Road Nikol,07922900142,23.0509,72.6693,2026-08-10
Siddhi Vinayak Hospital,General Hospital,Ahmedabad,Ahmedabad,Gangotri Circle Nikol,07922900143,23.0461,72.6652,2026-08-10
Shreeji Surgical Hospital,Surgical,Ahmedabad,Ahmedabad,Nikol Gam Road Nikol,07922900144,23.0452,72.6641,2026-08-10
Vraj Women's Hospital,Maternity,Ahmedabad,Ahmedabad,Town Plaza Nikol,07922900145,23.0471,72.6664,2026-08-10
Sanjivani Multispecialty Hospital,Multispecialty,Ahmedabad,Ahmedabad,Nikol Naroda Road Nikol,07922900146,23.0516,72.6697,2026-08-10
Dhanvantari Health Center,Ayurvedic & General,Ahmedabad,Ahmedabad,New India Colony Nikol,07922900147,23.0481,72.6679,2026-08-10
Care & Cure Hospital Nikol,General Hospital,Ahmedabad,Ahmedabad,Raspan Circle Nikol,07922900148,23.0477,72.6674,2026-08-10
